Username,Nickname,Messages,Tokens
"Motorcycle（📷,📷）Rabbit🐰#8925","Motorcycle（📷,📷）Rabbit🐰",12,638.5734833348217
"kelvin6766#0544","kelvin6766",12,638.5734833348217
"arooj#9300","arooj",11,609.7683214498118
"Yazars#6826","Yazars",11,609.7683214498118
"M3pT#9313","M3pT",11,609.7683214498118
"akhilp.eth#3757","akhilp.eth",11,609.7683214498118
"sneg55#3520","sneg55",11,609.7683214498118
"simba#6806","simba",11,609.7683214498118
"axiomatix#8226","axiomatix",11,609.7683214498118
"Fireshift#8654","Fireshift",11,609.7683214498118
"RoberDios#5742","RoberDios",11,609.7683214498118
"erikvanwinkle.eth#6530","erikvanwinkle.eth",11,609.7683214498118
"copelmayer.eth#6046","copelmayer.eth",11,609.7683214498118
"0xCyrus#0042","0xCyrus",11,609.7683214498118
"kodyline#2021","marcus",11,609.7683214498118
"evgeniy777#3347","evgeniy777",11,609.7683214498118
"XFLL#6219","XFLL",11,609.7683214498118
"rorhug#0001","rorhug",11,609.7683214498118
"Amun#0318","Amun",11,609.7683214498118
"nurlannurmanov#0026","nurlannurmanov",11,609.7683214498118
"andrew-schreiber#1234","andrew-schreiber",11,609.7683214498118
"Benn#1238","Benn",10,580.963159564802
"deepend#5162","deepend",10,580.963159564802
"Bugaga2000#3950","Bugaga2000",10,580.963159564802
"Taylorlynn#2004","Taylorlynn",10,580.963159564802
"guapard | EXVERSE |#8012","guapard | EXVERSE |",10,580.963159564802
"an1cu12.eth#8016","an1cu12.eth",10,580.963159564802
"W_#0007","W_",10,580.963159564802
"seanmcdonald.eth#1792","seanmcdonald.eth",10,580.963159564802
"aceee#2046","aceee",10,580.963159564802
"David_yesilikebooks#8026","David_yesilikebooks",9,552.1579976797923
"YLEM#0654","YLEM",9,552.1579976797923
"ittai#3150","Ittai",9,552.1579976797923
"V_Molinari#5223","V_Molinari",9,552.1579976797923
"OliverTvist#5026","OliverTvist",9,552.1579976797923
"ozone914#2374","ozone914",9,552.1579976797923
"ak554#3106","ak554",9,552.1579976797923
"utamadush#5658","utamadush",9,552.1579976797923
"imfarout#4916","imfarout",9,552.1579976797923
"chain surfer#7318","chain surfer",9,552.1579976797923
"searchableguy#5904","searchableguy",9,552.1579976797923
"nathan.eth#0001","nathan.eth",9,552.1579976797923
"sync.link#4494","sync.link",9,552.1579976797923
"OlaPhysix#9078","OlaPhysix",9,552.1579976797923
"verse#2142","verse",8,523.3528357947825
"elias_guineapig#2679","eli",8,523.3528357947825
